scheme,state,district,gap_type,gap_pct,std_residual,intervention,mechanism,evidence,timeline,cost_estimate
MGNREGA,uttar pradesh,ghaziabad,administrative,100.0,13.918278089210999,Dedicated scheme facilitation cells at block level,"Reduce processing delays, mobile verification units",MGNREGA Same Day Payment pilot (Rajasthan) reduced delays 40%,6-12 months,Rs. 15-25 lakh per district
MGNREGA,arunachal pradesh,west siang,awareness,48.34377797672336,7.286308899377044,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
MGNREGA,jammu and kashmir,baramulla,awareness,43.050048226342305,4.15432843631495,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
MGNREGA,chhattisgarh,raigarh,awareness,38.35129685001043,3.6112256441596577,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
MGNREGA,punjab,gurdaspur,administrative,37.21889894757046,3.601388834141086,Dedicated scheme facilitation cells at block level,"Reduce processing delays, mobile verification units",MGNREGA Same Day Payment pilot (Rajasthan) reduced delays 40%,6-12 months,Rs. 15-25 lakh per district
MGNREGA,haryana,sirsa,awareness,32.05175509802475,2.9127988939039167,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
MGNREGA,jammu and kashmir,pulwama,awareness,33.99117529081428,2.788355353526323,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
MGNREGA,bihar,khagaria,awareness,34.70006522237304,2.6972271170721425,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
MGNREGA,chhattisgarh,bemetara,awareness,31.802034833591996,2.5637651834729644,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
MGNREGA,gujarat,vadodara,administrative,27.646977832851427,2.4163760480175567,Dedicated scheme facilitation cells at block level,"Reduce processing delays, mobile verification units",MGNREGA Same Day Payment pilot (Rajasthan) reduced delays 40%,6-12 months,Rs. 15-25 lakh per district
MGNREGA,madhya pradesh,guna,awareness,27.94181961824415,2.3760069856888033,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
MGNREGA,gujarat,anand,administrative,26.346362114797678,2.328455534567689,Dedicated scheme facilitation cells at block level,"Reduce processing delays, mobile verification units",MGNREGA Same Day Payment pilot (Rajasthan) reduced delays 40%,6-12 months,Rs. 15-25 lakh per district
MGNREGA,haryana,bhiwani,administrative,25.607929007721552,2.1984707592212906,Dedicated scheme facilitation cells at block level,"Reduce processing delays, mobile verification units",MGNREGA Same Day Payment pilot (Rajasthan) reduced delays 40%,6-12 months,Rs. 15-25 lakh per district
MGNREGA,andhra pradesh,kurnool,awareness,24.860711675541257,2.1123028860969626,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
MGNREGA,bihar,bhojpur,awareness,30.275280275280274,2.1065035036239266,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
Health Insurance,mizoram,chandel,infrastructural,83.9,4.47754991427555,Mobile health camps + Common Service Centers,"Telemedicine kiosks, digital enrollment infrastructure",CSC network increased PMJAY enrollment 25% in pilot districts,12-18 months,Rs. 25-50 lakh per district
Health Insurance,madhya pradesh,panna,awareness,87.4,3.408289320951495,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
Health Insurance,nagaland,peren,infrastructural,94.6,3.209536643350896,Mobile health camps + Common Service Centers,"Telemedicine kiosks, digital enrollment infrastructure",CSC network increased PMJAY enrollment 25% in pilot districts,12-18 months,Rs. 25-50 lakh per district
Health Insurance,madhya pradesh,katni,awareness,81.9,3.1639482203697296,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
Health Insurance,madhya pradesh,umaria,awareness,80.1,3.141826700559657,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
Health Insurance,madhya pradesh,chhatarpur,awareness,82.9,2.785932403388046,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
Health Insurance,meghalaya,east khasi hills,infrastructural,52.9,2.7381796092414135,Mobile health camps + Common Service Centers,"Telemedicine kiosks, digital enrollment infrastructure",CSC network increased PMJAY enrollment 25% in pilot districts,12-18 months,Rs. 25-50 lakh per district
Health Insurance,dadra and nagar haveli & daman and diu,daman,awareness,67.1,2.7224694876173827,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
Health Insurance,nagaland,dimapur,administrative,94.3,2.573645480955589,Dedicated scheme facilitation cells at block level,"Reduce processing delays, mobile verification units",MGNREGA Same Day Payment pilot (Rajasthan) reduced delays 40%,6-12 months,Rs. 15-25 lakh per district
Health Insurance,tamil nadu,virudhunagar,administrative,48.7,2.5506594852570075,Dedicated scheme facilitation cells at block level,"Reduce processing delays, mobile verification units",MGNREGA Same Day Payment pilot (Rajasthan) reduced delays 40%,6-12 months,Rs. 15-25 lakh per district
Health Insurance,assam,kamrup metropolitan,administrative,54.5,2.4835718826374484,Dedicated scheme facilitation cells at block level,"Reduce processing delays, mobile verification units",MGNREGA Same Day Payment pilot (Rajasthan) reduced delays 40%,6-12 months,Rs. 15-25 lakh per district
Health Insurance,madhya pradesh,satna,awareness,78.0,2.3999043988891073,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
Health Insurance,arunachal pradesh,kurung kumey,awareness,86.6,2.330487663618423,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
Health Insurance,jharkhand,sahibganj,awareness,65.2,2.310325435569062,Targeted IEC campaigns + Gram Sabha awareness drives,"Door-to-door enrollment assistance, local language materials",J-PAL 2019: IEC campaigns increase MGNREGA uptake by 12-18%,3-6 months,Rs. 5-10 lakh per district
Health Insurance,assam,kamrup,administrative,53.0,2.198995783403167,Dedicated scheme facilitation cells at block level,"Reduce processing delays, mobile verification units",MGNREGA Same Day Payment pilot (Rajasthan) reduced delays 40%,6-12 months,Rs. 15-25 lakh per district
